site,edge_id,pair,psi_a,psi_b,psi_diff_abs,co_activated_both_positive,mean_extent_a,mean_extent_b
Talensi,Talensi_2_52,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.10557916157967735,0.0
Talensi,Talensi_3_52,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_3_52,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.14188582897087568,0.0
Talensi,Talensi_3_4,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_3_4,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.07189547207479982,0.0
Talensi,Talensi_4_52,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_4_52,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.07555623377946996,0.0
Talensi,Talensi_4_3,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_4_3,CaNa_exch~NaCa_exch,1.0,1.0,0.0,True,0.12496204909254963,0.07969452955203643
Talensi,Talensi_5_1,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_5_1,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.20656945303647634,0.0
Talensi,Talensi_5_6,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_5_6,CaNa_exch~NaCa_exch,1.0,0.3,0.7,True,0.12192271384234317,0.002516879320276161
Talensi,Talensi_6_24,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_6_24,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.16651520708033044,0.0
Talensi,Talensi_6_5,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_6_5,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.06493093153532692,0.0
Talensi,Talensi_7_10,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_7_10,CaNa_exch~NaCa_exch,0.5,0.5,0.0,True,0.011708620663148395,0.008468134909414737
Talensi,Talensi_7_24,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_7_24,CaNa_exch~NaCa_exch,1.0,0.0,1.0,False,0.09951073673204197,0.0
Talensi,Talensi_8_53,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_8_53,CaNa_exch~NaCa_exch,1.0,0.8666666666666667,0.1333333333333333,True,0.05995635187318703,0.041942530478958254
Talensi,Talensi_8_9,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_8_9,CaNa_exch~NaCa_exch,1.0,0.5,0.5,True,0.14401114245485036,0.008546200102138345
Talensi,Talensi_9_53,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_9_53,CaNa_exch~NaCa_exch,0.0,1.0,1.0,False,0.0,0.12686676379818687
Talensi,Talensi_9_10,calcite~dolomite,0.0,0.0,0.0,False,0.0,0.0
Talensi,Talensi_9_10,CaNa_exch~NaCa_exch,0.0,1.0,1.0,True,1.3859365100202404e-08,0.23057494332332926
