Number,Town,Code,Latitude,Longitude,Elevation,EC,TDS,Sal,pH,Eh,Temp,HCO3,Na,K,Ca,Mg,Cl,SO4,NO3,Fe,d18O,d2H
56,Gbani galamsey pit,THDW4b,10.72356,0.69932,206,412.8,206.4,0.2,7,-12.6,30.9,186,30.25,1.62,15.27,2.82,19.99,9,41.55,0.0412,-3.425,-15.9
57,Datoku,THDW5,10.71027,0.6427,198,700.4,350.3,0.34,7.4,-43.9,31.8,304,38.07,2.2,19.69,13.78,33.98,25,53.04,0.067,-3.145,-15.86
58,Yamsock,THDW6,10.7412,0.76181,183,561.6,280.8,0.27,6.7,11,33.2,268,25.42,1.84,14.51,9.18,21.99,13,30.41,0.0325,-3.96,-20.46
59,Tindongo,THDW7,10.74333,0.72808,195,332.6,166.3,0.16,7,,33.4,194,16.06,2.28,10.06,11.42,19.99,2,17.68,0.0412,-3.28,-16.445
60,Duusi,THDW8,10.7825,0.69367,217,207.9,104.1,0.1,7.1,,35.3,314,12.28,0.61,10.28,2.14,17.99,6,15.91,0.0607,-2.485,-12.855
61,Zalerigo Zobologo,THDW9,10.79384,0.73862,227,666.2,333.1,0.32,7,-8.6,30.6,340,45.66,1.43,20.92,10.31,29.99,60,16.62,0.0526,-3.425,-18.325
62,Damolgo Primary Sch,THDW10,10.8021,0.71523,254,490.8,245.4,0.23,7.1,-17.2,32,280,29.85,1.02,43.28,12.06,13.99,6,12.73,0.0324,-3.88,-22.34
63,Zakoti Kparaboug,THDW11,10.80249,0.61834,225,124.3,62.22,0.06,7.6,-44.3,31.6,74,14.2,1.96,6.03,2.55,11.99,3,16.09,0.0682,-4.725,-27.715
64,Tongo Zooga,TSW1,10.71298,0.78636,191,306.4,153.4,0.14,7.6,-58.9,28.7,190,28.54,1.46,8.85,4.29,9.99,5,4.42,0.0327,4.045,13.395
65,Dakoku Dam,TSW2,10.71953,0.65501,179,226.1,112.7,0.1,7.9,-67.2,33.2,134,14.86,1.26,12.23,6.71,15.99,3,9.37,0.0402,5.195,19.105
66,Baare Talahig dam,TSW3,10.74071,0.79271,196,205.6,102.7,0.1,7.4,-37,31.7,126,12.27,1.14,9.23,2.63,5.99,4,6.54,0.0341,5.165,24.55
67,Kpatia dam,TSW4,10.76526,0.75513,222,249.1,125.4,0.11,11.5,-292.5,38.2,180,17.51,1.42,10.23,5.06,13.99,5,8.48,0.0392,5.5,23.61
68,Pelungu Pieru,TSW5,10.79345,0.66932,213,101.2,49.51,0.05,7.9,-67.3,33.8,70,10.39,0.72,5.63,1.58,11.99,9,4.49,0.0554,0.666666667,1.416666667
69,Tongo Beo dam,TSW6,10.77236,0.80339,191,215.2,107.7,0.1,7.6,-48.2,32.5,0,14.58,1.48,8.68,2.84,15.99,5,9.01,0.042,2.035,10.585
