seed,map_n_edges,map_precision,map_recall,map_f1,n_edges_r_hat,n_edges_ess_bulk,n_edges_ess_tail,edge_r_hat_max,edge_ess_min,acceptance_rate,converged
4101,18,0.5,1.0,0.6666666666666666,1.0015653770993156,2507.367792927189,3836.0791993537505,1.0044280237467917,1555.1972169146973,0.19166875,True
4102,17,0.47058823529411764,0.8888888888888888,0.6153846153846153,1.0012975160944007,2722.5397124015876,4159.889146445708,1.0028556356393306,1558.0212527305055,0.184328125,True
4103,21,0.2857142857142857,0.6666666666666666,0.4,1.000861240239313,2949.726462184177,4040.756522359938,1.0045571080271003,1326.105022548059,0.189490625,True
4104,17,0.47058823529411764,0.8888888888888888,0.6153846153846153,1.0006460093678147,2558.9898727792133,3825.854988953122,1.0028128917417742,1707.360403508613,0.20561875000000002,True
4105,21,0.3333333333333333,0.7777777777777778,0.4666666666666666,1.0030909019380376,2319.19065540302,3237.9305379055404,1.003952039150914,1333.2979776082216,0.17941875000000002,True
4106,18,0.3333333333333333,0.6666666666666666,0.4444444444444444,1.0003692264125579,2734.783759286289,4172.221215043152,1.0036393744245438,1409.437058969433,0.1824,True
4107,21,0.38095238095238093,0.8888888888888888,0.5333333333333333,1.0023250228921536,2512.508050189744,3921.8770295757918,1.0040569854569021,1251.2159117198858,0.208503125,True
4108,22,0.2727272727272727,0.6666666666666666,0.3870967741935484,1.000370576121917,2720.2329746878117,4740.272375595793,1.0050503713460726,1145.0165354633896,0.189971875,True
4109,18,0.4444444444444444,0.8888888888888888,0.5925925925925926,1.0013479362186444,2807.9695768411766,4225.977205147615,1.0037355007949047,1251.7875447564145,0.196525,True
4110,21,0.38095238095238093,0.8888888888888888,0.5333333333333333,1.0011628160004764,2302.8771317743194,3417.787189884642,1.003564154445507,946.4362595323495,0.18916875,True
4111,22,0.2727272727272727,0.6666666666666666,0.3870967741935484,1.000577372036035,2609.312733050609,4348.062091451907,1.006419161894807,939.2663285877129,0.18807812499999998,True
4112,21,0.3333333333333333,0.7777777777777778,0.4666666666666666,1.0011959723645505,2690.9547206969432,4154.74094429994,1.0064470028644248,1046.0603925774842,0.196940625,True
