edge_id,u,v,distance_km,hydraulic_probability,hydraulic_logit,age_cost,negative_age_cost,chemistry_objective_unconstrained,chemistry_objective_constrained,negative_chemistry_log_objective,phreeqc_objective_change,phreeqc_ok,thermodynamic_constraints_active_count,thermodynamic_bound_hit_count,constraints_binding,reaction_extents,dominant_reaction,dominant_reaction_family,dominant_reaction_unconstrained,dominant_reaction_family_unconstrained,seed,split,is_true_edge,true_process,true_process_family,probability_hydraulic_chemistry,probability_hydraulic_chemistry_age,probability_age_permuted_control
MF2103_P2_M3->MF2103_P1_M3,MF2103_P2_M3,MF2103_P1_M3,0.38939269518963804,0.8082040546978668,1.4383825475936576,0.8588358114798901,-0.6199503839565343,0.17701455351504122,0.17956276443199243,-0.1651438311942216,0.0025482109169512046,True,9,5,"{'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.15619817633117086, 'anorthite': -0.5137356895900703, 'k_feldspar': -0.04241305919231816, 'NO3src': 0.0, 'sulfate_reduction': 0.23191378239758426, 'iron_reduction': 0.028189159842557144, 'CaNa_exch': 0.25167106480563034, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.03129844180695797}",anorthite,silicate_exchange,anorthite,silicate_exchange,2103,development,0,,,0.008967806771248314,1e-06,0.008967806771248314
MF2104_P0_M0->MF2104_P0_M1,MF2104_P0_M0,MF2104_P0_M1,0.6716847328110359,0.999999,13.815509557935018,3.6050384243447524e-06,-3.6050319262093495e-06,0.15640851669873163,0.15670311117561658,-0.14557381301527875,0.0002945944768849573,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'denit': 'lower', 'CaNa_exch': 'lower', 'MgNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.002069550440845292, 'albite': -0.04084737815923359, 'anorthite': 0.11095119388556975, 'k_feldspar': -0.02151529792295241, 'NO3src': 0.0, 'denit': 0.0, 'CaNa_exch': 0.0, 'NaCa_exch': 0.01691268077302335, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,2104,development,1,carbonate_weathering,carbonate,0.7228401118346065,0.7228401118346065,0.7228401118346065
MF2104_P0_M0->MF2104_P1_M1,MF2104_P0_M0,MF2104_P1_M1,0.86683710501443,0.999999,13.815509557935018,3.518465323058949e-06,-3.518459133274353e-06,0.15410845050414793,0.15739050193122045,-0.1461679037399824,0.0032820514270725243,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.032021796797240126, 'anorthite': -0.014959948684440486, 'k_feldspar': -0.004368925773748484, 'NO3src': 0.0, 'denit': 0.20165388815489202, 'CaNa_exch': 0.022471780603822815, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.010612399891399003}",denit,denitrification,NO3src,other,2104,development,0,,,0.7116397081193072,0.7116397081193072,0.7116397081193072
MF2104_P0_M0->MF2104_P2_M1,MF2104_P0_M0,MF2104_P2_M1,1.2551669390265696,0.999999,13.815509557935018,0.00015581583359281105,-0.00015580369556666003,0.1599112596119852,0.1599112596081106,-0.1483435018541375,-3.874622844790565e-12,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.09033895074717299, 'anorthite': 0.03090114763732646, 'k_feldspar': 0.04281981997295706, 'NO3src': 0.05567807124942434, 'denit': 0.03603388992539684, 'CaNa_exch': 0.0, 'NaCa_exch': 0.039271397488700954, 'MgNa_exch': 0.03802978099763641, 'NaMg_exch': 0.0}",albite,silicate_exchange,albite,silicate_exchange,2104,development,0,,,0.6684307846351907,0.6684307846351907,0.6684307846351907
MF2104_P0_M0->MF2104_P0_M2,MF2104_P0_M0,MF2104_P0_M2,1.4179374556246513,0.999999,13.815509557935018,9.56845713777769e-12,-9.568457137731912e-12,0.15658635696302073,0.15742049792534127,-0.14619382032161637,0.0008341409623205398,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'denit': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.02103438769222681, 'albite': 0.02781566230890714, 'anorthite': -0.04061595377045884, 'k_feldspar': -0.011751101675465609, 'NO3src': 0.0, 'denit': 0.0, 'CaNa_exch': 0.0, 'NaCa_exch': 0.01645187935507136, 'MgNa_exch': 0.027036940527533852, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,denit,denitrification,2104,development,0,,,0.7111450145847181,0.7111450145847181,1e-06
MF2104_P0_M0->MF2104_P1_M2,MF2104_P0_M0,MF2104_P1_M2,1.4670920340211449,0.999999,13.815509557935018,2.2204460492503136e-16,-2.220446049250313e-16,0.19819016039829485,0.29848190569070165,-0.2611958172455258,0.10029174529240681,True,7,3,"{'gypsum': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.03701081559334623, 'anorthite': -0.05180761986905222, 'k_feldspar': 0.013988211856130401, 'NO3src': 0.419137205587701, 'denit': 0.7323007338275295, 'CaNa_exch': 0.0, 'NaCa_exch': 0.04509832382527017, 'MgNa_exch': 0.0185824663389068, 'NaMg_exch': 0.0}",denit,denitrification,gypsum,sulfate_source,2104,development,0,,,5.596359401584821e-05,5.596359401584821e-05,5.596359401584821e-05
MF2104_P0_M0->MF2104_P2_M2,MF2104_P0_M0,MF2104_P2_M2,1.7564530436388732,0.999999,13.815509557935018,6.004086117174649e-13,-6.004086117172847e-13,0.16309279494301415,0.1631010372882638,-0.15108974619313834,8.242345249653837e-06,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'denit': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': -0.009022966191477327, 'anorthite': 0.26134141726045584, 'k_feldspar': 0.016902364151691295, 'NO3src': 0.0, 'denit': 0.0, 'CaNa_exch': 0.0, 'NaCa_exch': 0.056604111294295274, 'MgNa_exch': 0.03277709440564899, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,2104,development,0,,,0.6096351076792609,0.6096351076792609,1e-06
MF2104_P0_M0->MF2104_P0_M3,MF2104_P0_M0,MF2104_P0_M3,2.16267256210379,0.999999,13.815509557935018,1.4432899320127045e-15,-1.4432899320127035e-15,0.16255084433426145,0.1639719575261222,-0.1518382575466383,0.0014211131918607511,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'denit': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.028734865658629934, 'albite': 0.1417122828539229, 'anorthite': 0.0, 'k_feldspar': 0.013549402273309096, 'NO3src': 0.0, 'denit': 0.0, 'CaNa_exch': 0.0, 'NaCa_exch': 0.03442379637807588, 'MgNa_exch': 0.03482399961234584, 'NaMg_exch': 0.0}",albite,silicate_exchange,denit,denitrification,2104,development,0,,,0.5929537943871579,0.5929537943871579,0.5929537943871579
MF2104_P0_M0->MF2104_P1_M3,MF2104_P0_M0,MF2104_P1_M3,2.2164336637534756,0.999999,13.815509557935018,0.0,-0.0,0.20987999608569005,0.30333682767929926,-0.26492776640943194,0.09345683159360921,True,7,3,"{'gypsum': 'lower', 'CaNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.0597994586770958, 'anorthite': -0.057419125364528485, 'k_feldspar': 0.011004965106369844, 'NO3src': 0.63486618209986, 'denit': 0.9415136944253585, 'CaNa_exch': 0.0, 'NaCa_exch': 0.01880157103932675, 'MgNa_exch': 0.022399414991906657, 'NaMg_exch': 0.0}",denit,denitrification,denit,denitrification,2104,development,0,,,3.95576644345515e-05,3.95576644345515e-05,3.95576644345515e-05
MF2104_P0_M1->MF2104_P0_M2,MF2104_P0_M1,MF2104_P0_M2,0.746253499679715,0.999999,13.815509557935018,0.042072495937623515,-0.04121151474751896,0.15399595891054554,0.1539971675198545,-0.14323171359403464,1.2086093089669347e-06,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.08452838507279739, 'anorthite': -0.20716321742340355, 'k_feldspar': 0.004873139082000886, 'NO3src': 0.0, 'denit': 0.0007332209078566775, 'CaNa_exch': 0.035763652917908145, 'NaCa_exch': 0.0, 'MgNa_exch': 0.014090594952269792, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,2104,development,1,carbonate_precipitation,carbonate,0.7642887013817395,0.7642887013817395,0.7642887013817395
