edge_id,u,v,distance_km,hydraulic_probability,hydraulic_logit,age_cost,negative_age_cost,chemistry_objective_unconstrained,chemistry_objective_constrained,negative_chemistry_log_objective,phreeqc_objective_change,phreeqc_ok,thermodynamic_constraints_active_count,thermodynamic_bound_hit_count,constraints_binding,reaction_extents,dominant_reaction,dominant_reaction_family,dominant_reaction_unconstrained,dominant_reaction_family_unconstrained,seed,split,is_true_edge,true_process,true_process_family,probability_hydraulic_chemistry,probability_hydraulic_chemistry_age,permuted_negative_age_cost,probability_age_permuted_control
MF2103_P2_M1->MF2103_P1_M1,MF2103_P2_M1,MF2103_P1_M1,0.38543868121480285,0.30362568997713074,-0.8300916577433056,0.3154250720404657,-0.2741598620960968,0.1601566282058619,0.1664499758940461,-0.15396492762842626,0.006293347688184181,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.015267291436942075, 'albite': 0.020056513096775586, 'anorthite': -0.21156164278801995, 'k_feldspar': -0.043222708763783285, 'NO3src': 0.0, 'denit': 0.23251314781036883, 'CaNa_exch': 0.14696783030052296, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0}",denit,denitrification,NO3src,other,2103,development,0,,,0.01248844834119813,0.0067055176178009174,-0.0016989317831369558,0.004273974643851572
MF2103_P2_M1->MF2103_P0_M1,MF2103_P2_M1,MF2103_P0_M1,1.0863302591997366,0.23510454494108202,-1.1797088771263777,0.461334678964493,-0.3793501818014232,0.15609955141570178,0.15609955141290277,-0.145051883681507,-2.7990110229580978e-12,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'CaNa_exch': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': -0.18313748127283805, 'anorthite': 0.15883814966501286, 'k_feldspar': -0.044754746460951386, 'NO3src': 0.0, 'denit': 0.016376336831835665, 'CaNa_exch': 0.0, 'NaCa_exch': 0.0, 'MgNa_exch': 0.035760973545606395, 'NaMg_exch': 0.0}",albite,silicate_exchange,albite,silicate_exchange,2103,development,0,,,0.02532454802544631,0.01677062616201464,-0.004501974155489922,0.00906513425834498
MF2103_P2_M2->MF2103_P2_M3,MF2103_P2_M2,MF2103_P2_M3,0.7463377244467744,0.999999,13.815509557935018,0.03454525873867556,-0.03396196663138087,0.15552512324519627,0.15552512324932932,-0.14455489281469944,4.133055009347686e-12,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.006308532138174168, 'anorthite': -0.059943845342699406, 'k_feldspar': 0.007747957025491373, 'NO3src': 0.0, 'denit': 0.27029491226924607, 'CaNa_exch': 0.02721099850324361, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0}",denit,denitrification,denit,denitrification,2103,development,1,denitrification,denitrification,0.7414123493321029,0.7451096435516518,-0.3466744674304063,0.8309573854335086
MF2103_P2_M2->MF2103_P1_M3,MF2103_P2_M2,MF2103_P1_M3,0.8558086172113538,0.999999,13.815509557935018,0.01225613807578324,-0.012181639706051753,0.19173008564338034,0.24489697820542278,-0.21905277806345147,0.053166892562042434,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.023567128554431264, 'anorthite': -0.30858879533129946, 'k_feldspar': -0.0038468208243434957, 'NO3src': 0.11740656917466416, 'denit': 0.43065758141164984, 'CaNa_exch': 0.11945924474052985, 'NaCa_exch': 0.0, 'MgNa_exch': 0.024770344910699214, 'NaMg_exch': 0.0}",denit,denitrification,gypsum,sulfate_source,2103,development,0,,,0.0028072851405409414,0.0017365924524115055,-0.0008928631692796774,0.0017043692603932311
MF2103_P2_M2->MF2103_P0_M3,MF2103_P2_M2,MF2103_P0_M3,1.3333734268332231,0.999999,13.815509557935018,0.00113935737498894,-0.0011387087999673792,0.16292230923618423,0.16325172569946456,-0.1512192952570713,0.0003294164632803298,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.16443117411879762, 'anorthite': -0.312140824144789, 'k_feldspar': 0.0407252445665462, 'NO3src': 0.16590226550350717, 'denit': 0.18201670171055068, 'CaNa_exch': 0.06331171288681564, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0338992996952167, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,2103,development,0,,,0.6067650860504904,0.5883142393035405,-0.4951530970198533,0.7645979640912483
MF2103_P2_M2->MF2103_P1_M2,MF2103_P2_M2,MF2103_P1_M2,0.35310494577996987,0.905470286284791,2.2595402461547898,0.4143562314032735,-0.3466744674304063,0.1894294729374904,0.23820872219062536,-0.21366575632840648,0.048779249253134954,True,9,6,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.043880130714176895, 'anorthite': -0.2967624501508965, 'k_feldspar': -0.013474144050471976, 'NO3src': 0.0, 'denit': 0.2997830094763552, 'CaNa_exch': 0.15836386066529395, 'NaCa_exch': 0.0, 'MgNa_exch': 0.009817439561642301, 'NaMg_exch': 0.0}",denit,denitrification,NO3src,other,2103,development,0,,,0.00012828494360998853,6.557526106373664e-05,-0.005666273908031598,3.720598078341621e-05
MF2103_P2_M2->MF2103_P0_M2,MF2103_P2_M2,MF2103_P0_M2,1.1162932309784956,0.5867816787503152,0.35067674730473625,0.3616590878980869,-0.30870387382524883,0.16141152195454966,0.16156245856950027,-0.14976604584152958,0.00015093661495060862,True,9,5,"{'calcite': 'lower', 'dolomite': 'lower', 'gypsum': 'lower', 'NaCa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.028047463618202966, 'anorthite': -0.2954863881915601, 'k_feldspar': 0.0, 'NO3src': 0.022725583760246314, 'denit': 0.03130936800042586, 'CaNa_exch': 0.06493823321415053, 'NaCa_exch': 0.0, 'MgNa_exch': 0.02989028130743218, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,2103,development,0,,,0.026255490350318236,0.016662914012154532,-0.0018114034282648522,0.01007249476952401
MF2103_P2_M3->MF2103_P0_M3,MF2103_P2_M3,MF2103_P0_M3,1.0748373947227066,0.847338345882234,1.7138760171218186,1.087394614169031,-0.7359166922380975,0.16325297444861148,0.16326741720809546,-0.15123278451520097,1.4442759483979106e-05,True,9,6,"{'dolomite': 'lower', 'gypsum': 'lower', 'iron_reduction': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.23478807612771802, 'anorthite': -0.4302922213264554, 'k_feldspar': 0.018322451533339026, 'NO3src': 0.2344929320327868, 'sulfate_reduction': 0.04222967471232562, 'iron_reduction': 0.0, 'CaNa_exch': 0.13629531092666453, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,2103,development,0,,,0.03468214035044867,0.047520175752817896,-0.7359166922380975,0.047520175752817896
MF2103_P2_M3->MF2103_P1_M3,MF2103_P2_M3,MF2103_P1_M3,0.38939269518963804,0.8082040546978668,1.4383825475936576,0.8941567453742236,-0.6387737502488618,0.17701455351504122,0.17956276443199243,-0.1651438311942216,0.0025482109169512046,True,9,5,"{'dolomite': 'lower', 'gypsum': 'lower', 'NO3src': 'lower', 'NaCa_exch': 'lower', 'MgNa_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.0, 'albite': 0.15619817633117086, 'anorthite': -0.5137356895900703, 'k_feldspar': -0.04241305919231816, 'NO3src': 0.0, 'sulfate_reduction': 0.23191378239758426, 'iron_reduction': 0.028189159842557144, 'CaNa_exch': 0.25167106480563034, 'NaCa_exch': 0.0, 'MgNa_exch': 0.0, 'NaMg_exch': 0.03129844180695797}",anorthite,silicate_exchange,anorthite,silicate_exchange,2103,development,0,,,0.008967806771248314,0.009531630306966611,-0.034767816736044566,0.003514199610378212
MF2104_P0_M0->MF2104_P0_M1,MF2104_P0_M0,MF2104_P0_M1,0.6716847328110359,0.999999,13.815509557935018,0.0016487471835380312,-0.0016473894920222684,0.15640851669873163,0.15670311117561658,-0.14557381301527875,0.0002945944768849573,True,9,7,"{'calcite': 'lower', 'dolomite': 'lower', 'NO3src': 'lower', 'denit': 'lower', 'CaNa_exch': 'lower', 'MgNa_exch': 'lower', 'NaMg_exch': 'lower'}","{'calcite': 0.0, 'dolomite': 0.0, 'gypsum': 0.002069550440845292, 'albite': -0.04084737815923359, 'anorthite': 0.11095119388556975, 'k_feldspar': -0.02151529792295241, 'NO3src': 0.0, 'denit': 0.0, 'CaNa_exch': 0.0, 'NaCa_exch': 0.01691268077302335, 'MgNa_exch': 0.0, 'NaMg_exch': 0.0}",anorthite,silicate_exchange,anorthite,silicate_exchange,2104,development,1,carbonate_weathering,carbonate,0.7228401118346065,0.7146157650391803,-0.21149180550941632,0.7801723506615212
