method,pr_auc,roc_auc,brier,precision,recall,f1,mcc,threshold_locked_on_development
hydraulic_chemistry,0.5127121939709312,0.9103904612159329,0.14906936014979139,0.4550898203592814,0.7169811320754716,0.5567765567765568,0.49181976350695333,0.6874182433385685
hydraulic_chemistry_age,0.5214197180705773,0.9104297693920336,0.14423548807055483,0.4406779661016949,0.7358490566037735,0.5512367491166078,0.4877135368190732,0.6749999999999999
age_permuted_control,0.3675162592468818,0.8716981132075472,0.16868093434033196,0.38571428571428573,0.7641509433962265,0.5126582278481012,0.44932788412882746,0.6765054619243247
