true_process,n,constrained_family_accuracy,unconstrained_family_accuracy,phreeqc_material_change_fraction,thermodynamic_bound_hit_fraction
ALL,106,0.6132075471698113,0.5094339622641509,0.6415094339622641,1.0
carbonate_precipitation,12,0.0,0.0,0.25,1.0
carbonate_weathering,24,0.0,0.0,0.625,1.0
denitrification,22,0.9545454545454546,0.5909090909090909,0.7272727272727273,1.0
iron_reduction,12,0.75,0.75,0.25,1.0
silicate_weathering,24,0.9583333333333334,0.8333333333333334,0.7916666666666666,1.0
sulfate_reduction,12,1.0,1.0,1.0,1.0
